cd_industry,ds_naics_industry,ds_naics_sector,ds_naics_supersector,ds_naics_domain,cd_sic_code,ds_sic_description,cd_industry_sector
212231,Lead ore and zinc ore mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
212234,Copper ore and nickel ore mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
21229,Other metal ore mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
212291,Uranium-radium-vanadium ore mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1094,Uranium-radium-vanadium Ores,21
212299,All other metal ore mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1061,"Ferroalloy Ores, Except Vanadium",21
2123,Nonmetallic mineral mining and quarrying,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
21231,Stone mining and quarrying,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
212311,Dimension stone mining and quarrying,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1411,Dimension Stone,21
212312,Crushed and broken limestone mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1422,Crushed and Broken Limestone,21
212313,Crushed and broken granite mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1423,Crushed and Broken Granite,21
212319,Other crushed and broken stone mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1429,"Crushed and Broken Stone, Nec",21
21232,"Sand, gravel, clay, and refractory mining","Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
212321,Construction sand and gravel mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1442,Construction Sand and Gravel,21
212322,Industrial sand mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1446,Industrial Sand,21
212324,Kaolin and ball clay mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1455,Kaolin and Ball Clay,21
212325,"Clay, ceramic, and refractory minerals mining","Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1459,"Clay and Related Minerals, Nec",21
21239,Other nonmetallic mineral mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
212391,"Potash, soda, and borate mineral mining","Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1474,"Potash, Soda, and Borate Minerals",21
212392,Phosphate rock mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1475,Phosphate Rock,21
212393,Other chemical and fertilizer mineral mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1479,Chemical and Fertilizer Mining,21
212399,All other nonmetallic mineral mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1499,Miscellaneous Nonmetallic Mining,21
213,Support activities for mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
2131,Support activities for mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
21311,Support activities for mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,,,21
213111,Drilling oil and gas wells,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1381,Drilling Oil and Gas Wells,21
213112,Support activities for oil and gas operations,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1382,Oil and Gas Exploration Services,21
213113,Support activities for coal mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1241,Coal Mining Services,21
213114,Support activities for metal mining,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1081,Metal Mining Services,21
213115,Support activities for nonmetallic minerals,"Mining, quarrying, and oil and gas extraction",Natural resources and mining,Goods-producing,1481,Nonmetallic Mineral Services,21
221,Utilities,Utilities,"Trade, transportation, and utilities",Goods-producing,,,22
2211,Power generation and supply,Utilities,"Trade, transportation, and utilities",Goods-producing,,,22
22111,Electric power generation,Utilities,"Trade, transportation, and utilities",Goods-producing,,,22
221111,Hydroelectric power generation,Utilities,"Trade, transportation, and utilities",Goods-producing,4911,Electric Services,22
221112,Fossil fuel electric power generation,Utilities,"Trade, transportation, and utilities",Goods-producing,4911,Electric Services,22
23815,Glass and glazing contractors,Construction,Construction,Goods-producing,,,23
221113,Nuclear electric power generation,Utilities,"Trade, transportation, and utilities",Goods-producing,4911,Electric Services,22
221114,Solar electric power generation,Utilities,"Trade, transportation, and utilities",Goods-producing,4911,Electric Services,22
221115,Wind electric power generation,Utilities,"Trade, transportation, and utilities",Goods-producing,4911,Electric Services,22
238162,Nonresidential roofing contractors,Construction,Construction,Goods-producing,,,23
221116,Geothermal electric power generation,Utilities,"Trade, transportation, and utilities",Goods-producing,4911,Electric Services,22
221117,Biomass electric power generation,Utilities,"Trade, transportation, and utilities",Goods-producing,4911,Electric Services,22
221118,Other electric power generation,Utilities,"Trade, transportation, and utilities",Goods-producing,4911,Electric Services,22
221119,Other electric power generation,Utilities,"Trade, transportation, and utilities",Goods-producing,,,22
22112,Electric power transmission and distribution,Utilities,"Trade, transportation, and utilities",Goods-producing,,,22
221121,Electric bulk power transmission and control,Utilities,"Trade, transportation, and utilities",Goods-producing,4911,Electric Services,22
221122,Electric power distribution,Utilities,"Trade, transportation, and utilities",Goods-producing,4911,Electric Services,22
22121,Natural gas distribution,Utilities,"Trade, transportation, and utilities",Goods-producing,,,22
221210,Natural gas distribution,Utilities,"Trade, transportation, and utilities",Goods-producing,4923,Gas Transmission and Distribution,22
2213,"Water, sewage and other systems",Utilities,"Trade, transportation, and utilities",Goods-producing,,,22
322,Paper manufacturing,Manufacturing,Manufacturing,Goods-producing,,,32
221310,Water supply and irrigation systems,Utilities,"Trade, transportation, and utilities",Goods-producing,4941,Water Supply,22
22132,Sewage treatment facilities,Utilities,"Trade, transportation, and utilities",Goods-producing,,,22
221320,Sewage treatment facilities,Utilities,"Trade, transportation, and utilities",Goods-producing,4952,Sewerage Systems,22
22133,Steam and air-conditioning supply,Utilities,"Trade, transportation, and utilities",Goods-producing,,,22
221330,Steam and air-conditioning supply,Utilities,"Trade, transportation, and utilities",Goods-producing,4961,Steam and Air-conditioning Supply,22
236,Construction of buildings,Construction,Construction,Goods-producing,,,23
2361,Residential building construction,Construction,Construction,Goods-producing,,,23
23611,Residential building construction,Construction,Construction,Goods-producing,,,23
236115,New single-family general contractors,Construction,Construction,Goods-producing,1521,Single-family Housing Construction,23
236116,New multifamily general contractors,Construction,Construction,Goods-producing,1522,"Residential Construction, Nec",23
236117,New housing for-sale builders,Construction,Construction,Goods-producing,1531,Operative Builders,23
236118,Residential remodelers,Construction,Construction,Goods-producing,1521,Single-family Housing Construction,23
2362,Nonresidential building construction,Construction,Construction,Goods-producing,,,23
23621,Industrial building construction,Construction,Construction,Goods-producing,,,23
236210,Industrial building construction,Construction,Construction,Goods-producing,1531,Operative Builders,23
23622,Commercial building construction,Construction,Construction,Goods-producing,,,23
236220,Commercial building construction,Construction,Construction,Goods-producing,1522,"Residential Construction, Nec",23
237,Heavy and civil engineering construction,Construction,Construction,Goods-producing,,,23
2371,Utility system construction,Construction,Construction,Goods-producing,,,23
23711,Water and sewer system construction,Construction,Construction,Goods-producing,,,23
237110,Water and sewer system construction,Construction,Construction,Goods-producing,1623,"Water, Sewer, and Utility Lines",23
23712,Oil and gas pipeline construction,Construction,Construction,Goods-producing,,,23
237120,Oil and gas pipeline construction,Construction,Construction,Goods-producing,1389,"Oil and Gas Field Services, Nec",23
23713,Power and communication system construction,Construction,Construction,Goods-producing,,,23
237130,Power and communication system construction,Construction,Construction,Goods-producing,1623,"Water, Sewer, and Utility Lines",23
2372,Land subdivision,Construction,Construction,Goods-producing,,,23
23721,Land subdivision,Construction,Construction,Goods-producing,,,23
237210,Land subdivision,Construction,Construction,Goods-producing,6552,"Subdividers and Developers, Nec",23
2373,"Highway, street, and bridge construction",Construction,Construction,Goods-producing,,,23
23731,"Highway, street, and bridge construction",Construction,Construction,Goods-producing,,,23
237310,"Highway, street, and bridge construction",Construction,Construction,Goods-producing,1611,Highway and Street Construction,23
2379,Other heavy construction,Construction,Construction,Goods-producing,,,23
23799,Other heavy construction,Construction,Construction,Goods-producing,,,23
237990,Other heavy construction,Construction,Construction,Goods-producing,1622,"Bridge, Tunnel, and Elevated Highway",23
238,Specialty trade contractors,Construction,Construction,Goods-producing,,,23
2381,Building foundation and exterior contractors,Construction,Construction,Goods-producing,,,23
23811,Poured concrete structure contractors,Construction,Construction,Goods-producing,,,23
238111,Residential poured foundation contractors,Construction,Construction,Goods-producing,,,23
238112,Nonresidential poured foundation contractors,Construction,Construction,Goods-producing,,,23
23812,Steel and precast concrete contractors,Construction,Construction,Goods-producing,,,23
238121,Residential structural steel contractors,Construction,Construction,Goods-producing,,,23
238122,Nonresidential structural steel contractors,Construction,Construction,Goods-producing,,,23
23813,Framing contractors,Construction,Construction,Goods-producing,,,23
238131,Residential framing contractors,Construction,Construction,Goods-producing,,,23
238132,Nonresidential framing contractors,Construction,Construction,Goods-producing,,,23
23814,Masonry contractors,Construction,Construction,Goods-producing,,,23
238141,Residential masonry contractors,Construction,Construction,Goods-producing,,,23
238151,Residential glass and glazing contractors,Construction,Construction,Goods-producing,,,23
238152,Nonresidential glass and glazing contractors,Construction,Construction,Goods-producing,,,23
23816,Roofing contractors,Construction,Construction,Goods-producing,,,23
238161,Residential roofing contractors,Construction,Construction,Goods-producing,,,23
23817,Siding contractors,Construction,Construction,Goods-producing,,,23
238171,Residential siding contractors,Construction,Construction,Goods-producing,,,23
238172,Nonresidential siding contractors,Construction,Construction,Goods-producing,,,23
23819,Other building exterior contractors,Construction,Construction,Goods-producing,,,23
